Id,Lot Area,Lot Shape,Overall Qual,Mas Vnr Area,Exter Qual,Bsmt Qual,Bsmt Exposure,BsmtFin SF 1,Total Bsmt SF,Heating QC,1st Flr SF,Gr Liv Area,Garage Area,Wood Deck SF,Open Porch SF,house age,reno newness,MS SubClass_SC60,MS Zoning_RM,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_StoneBr,Year Built_2008,Roof Style_Gable,Roof Style_Hip
1181,10846,3,8,0.0,4,4,3,1619.0,1719.0,5,1719,1719,473.0,122,30,15,15,0,0,0,0,0,0,1,0
1514,5604,4,5,0.0,3,3,0,468.0,864.0,3,864,864,0.0,0,0,83,58,0,0,0,0,0,0,1,0
1040,1680,4,6,359.0,3,3,0,458.0,483.0,3,483,987,264.0,52,0,35,35,0,1,0,0,0,0,1,0
216,6342,4,5,0.0,3,3,0,0.0,780.0,4,780,1020,0.0,0,0,135,14,0,0,0,0,0,0,1,0
1720,4590,4,8,108.0,4,4,1,24.0,1554.0,5,1554,1554,627.0,156,73,1,1,0,0,0,1,0,0,1,0
2331,18062,3,10,662.0,5,5,3,0.0,1528.0,5,1528,3390,758.0,204,34,0,0,1,0,0,0,1,0,0,1
204,12900,4,6,0.0,4,3,0,0.0,780.0,5,780,1560,0.0,344,0,98,1,0,1,0,0,0,0,1,0
19,19138,4,4,0.0,3,3,0,120.0,864.0,5,864,864,400.0,0,0,59,59,0,0,0,0,0,0,1,0
2438,8658,3,6,0.0,3,4,0,732.0,982.0,5,1008,1889,431.0,0,0,6,6,1,0,0,0,0,0,1,0
89,6897,3,5,0.0,3,3,0,659.0,1040.0,5,1040,1040,260.0,0,104,48,0,0,0,0,0,0,0,1,0
240,9525,4,5,0.0,3,3,2,954.0,1172.0,3,1172,1172,366.0,240,0,56,12,0,0,0,0,0,0,1,0
105,12853,3,8,0.0,4,5,0,1032.0,1642.0,5,1418,1418,852.0,160,192,0,0,0,0,0,0,0,0,1,0
2020,6240,4,6,0.0,3,3,0,425.0,884.0,3,959,1367,560.0,0,0,76,57,0,1,0,0,0,0,1,0
888,7301,4,7,500.0,4,0,0,0.0,0.0,5,495,1922,672.0,0,0,6,6,0,0,0,0,0,0,1,0
1019,12090,3,6,210.0,3,4,0,588.0,1422.0,3,1422,1422,576.0,276,0,27,27,0,0,0,0,0,0,1,0
2132,8826,4,7,144.0,4,4,0,841.0,985.0,5,985,1842,486.0,193,96,7,7,1,0,0,0,0,0,1,0
203,8094,4,4,0.0,3,3,0,0.0,888.0,5,888,1962,572.0,160,0,95,60,0,1,0,0,0,0,1,0
420,10710,4,5,165.0,4,3,0,644.0,864.0,5,1120,1120,656.0,0,162,43,5,0,0,0,0,0,0,0,1
2333,16056,3,9,208.0,4,5,2,240.0,1992.0,5,1992,2868,716.0,214,108,1,0,1,0,0,0,1,0,0,1
632,8400,4,6,0.0,3,3,0,189.0,1478.0,4,1478,1478,442.0,114,0,52,52,0,0,0,0,0,0,0,1
2800,11250,4,7,0.0,4,4,2,685.0,930.0,5,950,1995,610.0,275,170,11,10,1,0,0,0,0,0,1,0
1885,7535,3,5,0.0,3,3,0,111.0,912.0,2,912,912,297.0,12,285,49,22,0,0,0,0,0,0,1,0
1734,12216,3,6,0.0,3,4,2,918.0,1326.0,5,1326,1326,388.0,120,23,2,2,0,0,0,0,0,0,1,0
2327,3701,3,8,0.0,3,4,0,0.0,1191.0,3,1204,1204,461.0,120,70,19,19,0,0,0,0,1,0,1,0
1282,9760,4,6,360.0,3,3,3,674.0,780.0,3,798,1611,442.0,328,128,44,44,1,0,0,0,0,0,1,0
2688,9873,4,4,160.0,3,3,2,789.0,960.0,3,960,960,576.0,0,288,36,36,0,0,0,0,0,0,1,0
2581,10011,3,5,64.0,3,3,0,360.0,1070.0,3,1236,1236,447.0,0,0,49,10,0,0,0,0,0,0,1,0
2067,25339,4,5,0.0,3,3,0,0.0,816.0,5,1416,1416,576.0,0,0,89,0,0,0,0,0,0,0,1,0
2115,8883,3,7,360.0,4,4,0,608.0,929.0,5,946,1873,619.0,108,48,19,19,1,0,0,0,0,0,1,0
754,3000,4,5,0.0,3,3,0,0.0,1040.0,3,1088,2128,0.0,0,56,87,59,0,1,0,0,0,0,0,1
1079,2448,4,7,106.0,4,4,0,573.0,764.0,5,764,1626,474.0,0,27,5,4,0,0,0,1,0,0,1,0
2615,7100,3,5,0.0,3,3,0,708.0,816.0,3,816,816,308.0,0,0,49,49,0,0,0,0,0,0,1,0
329,2592,4,5,0.0,3,4,0,129.0,536.0,3,536,1112,336.0,182,0,34,34,0,1,0,0,0,0,1,0
1320,5700,4,7,0.0,3,3,0,0.0,572.0,3,572,1111,288.0,0,0,82,58,0,1,0,0,0,0,1,0
416,2289,4,6,0.0,3,3,0,311.0,855.0,3,855,1441,440.0,28,0,31,31,0,0,0,0,0,0,1,0
284,12180,4,4,0.0,3,4,0,348.0,672.0,2,672,924,280.0,0,0,69,60,0,0,0,0,0,0,1,0
1385,7400,3,5,0.0,3,4,2,104.0,1060.0,3,1126,1126,506.0,178,0,24,24,0,0,0,0,0,0,1,0
275,8842,4,5,0.0,3,2,0,0.0,381.0,5,992,992,319.0,60,0,56,56,0,0,0,0,0,0,1,0
2024,8850,4,6,0.0,3,3,0,0.0,768.0,5,752,1376,576.0,0,54,87,57,0,0,0,0,0,0,1,0
68,9215,4,7,0.0,4,4,0,0.0,1218.0,5,1218,1218,676.0,0,136,1,0,0,0,0,0,0,0,0,1
1910,9480,4,5,224.0,3,3,0,386.0,728.0,5,888,1644,312.0,168,0,65,12,0,0,0,0,0,0,1,0
381,11880,3,7,206.0,3,4,0,704.0,1271.0,3,1601,1601,478.0,0,0,31,31,0,0,0,0,0,0,1,0
1323,10800,4,7,0.0,3,3,1,0.0,1313.0,4,1313,2495,342.0,0,299,118,9,0,1,0,0,0,0,1,0
2432,7861,3,6,0.0,4,4,0,457.0,783.0,5,807,1509,393.0,100,75,4,3,1,0,0,0,0,0,1,0
777,11616,4,5,116.0,3,3,0,170.0,1092.0,3,1092,1092,288.0,0,20,47,47,0,0,0,0,0,0,1,0
1107,10542,4,7,651.0,4,4,3,1173.0,1311.0,5,1325,2418,983.0,250,154,15,14,1,0,1,0,0,0,0,1
30,1680,4,6,504.0,3,3,0,156.0,483.0,3,483,987,264.0,275,0,39,39,0,1,0,0,0,0,1,0
282,8546,4,4,0.0,3,4,0,0.0,1121.0,5,1121,1121,440.0,132,64,7,6,0,1,0,0,0,0,1,0
188,7407,4,6,0.0,3,3,0,600.0,912.0,3,1236,1236,923.0,0,158,53,14,0,1,0,0,0,0,1,0
2356,10140,4,5,0.0,3,4,0,788.0,1056.0,5,1074,1074,495.0,0,88,31,31,0,0,0,0,0,0,1,0
1554,14584,4,1,0.0,2,0,0,0.0,0.0,1,733,733,487.0,0,0,56,56,0,0,0,0,0,0,1,0
1464,8158,4,7,252.0,4,4,0,550.0,884.0,5,884,1768,543.0,0,63,5,5,1,0,0,0,0,0,1,0
2469,7500,4,7,0.0,4,4,0,0.0,1257.0,5,1266,1266,453.0,38,144,1,1,0,0,0,0,0,0,1,0
1834,10678,4,8,337.0,4,4,0,700.0,1683.0,5,2129,2872,541.0,0,33,15,7,0,0,1,0,0,0,0,1
1779,15256,3,8,84.0,4,4,3,929.0,1485.0,5,1464,1464,754.0,168,160,0,0,0,0,0,0,0,0,1,0
2569,14200,4,7,309.0,3,3,0,445.0,924.0,5,1216,2157,487.0,105,66,40,40,1,0,0,0,0,0,1,0
2334,12438,3,8,466.0,5,5,0,0.0,1234.0,5,1264,2576,666.0,324,100,0,0,1,0,0,0,1,0,0,1
2330,16023,3,9,600.0,4,5,3,1218.0,1398.0,5,1414,2798,670.0,182,37,1,0,1,0,0,0,1,0,0,1
2119,20064,3,8,0.0,4,4,3,51.0,966.0,5,1743,1743,529.0,646,0,31,31,0,0,0,0,0,0,0,0
988,9819,3,6,0.0,3,3,3,1567.0,1567.0,3,1567,1567,714.0,264,32,32,32,0,0,0,0,0,0,1,0
382,10400,4,7,189.0,3,4,0,0.0,1090.0,3,1370,1370,479.0,0,0,33,33,0,0,0,0,0,0,1,0
670,11643,4,5,368.0,3,3,0,500.0,1248.0,3,1338,2634,968.0,0,0,40,40,0,0,0,0,0,0,1,0
2760,11645,4,8,198.0,4,5,3,1122.0,1570.0,5,1590,1590,754.0,176,80,1,0,0,0,0,0,0,0,0,1
543,7328,4,7,140.0,4,4,0,0.0,1450.0,5,1450,1450,788.0,0,93,1,0,0,0,0,0,0,1,1,0
2835,7822,4,6,0.0,3,2,0,0.0,832.0,3,846,1338,528.0,0,0,91,56,0,0,0,0,0,0,1,0
1735,9018,3,7,0.0,4,4,2,0.0,728.0,5,728,1456,400.0,100,24,0,0,1,0,0,0,0,0,0,1
448,13472,4,10,922.0,5,5,3,56.0,2392.0,5,2392,2392,968.0,248,105,6,6,0,0,0,1,0,0,0,1
2287,1533,4,4,0.0,3,4,2,503.0,530.0,3,530,992,297.0,112,97,37,37,0,1,0,0,0,0,1,0
524,11003,4,10,160.0,5,5,2,765.0,1017.0,5,1026,2007,812.0,168,52,1,1,1,0,0,0,0,1,1,0
1767,10790,4,7,275.0,4,4,0,0.0,1066.0,5,1108,2385,600.0,120,38,9,9,1,0,1,0,0,0,1,0
2206,7128,4,7,0.0,3,3,0,364.0,918.0,4,918,1646,240.0,0,0,66,57,0,0,0,0,0,0,1,0
1740,7713,4,7,16.0,4,4,0,0.0,728.0,5,728,1456,400.0,100,24,0,0,1,0,0,0,0,0,1,0
199,6240,4,5,0.0,3,3,0,276.0,528.0,4,548,1040,624.0,306,0,74,30,0,1,0,0,0,0,1,0
2214,22420,3,6,0.0,3,4,0,1128.0,1370.0,3,1370,2624,864.0,0,0,89,57,0,0,0,0,0,0,0,1
323,15300,4,5,0.0,3,3,0,42.0,1068.0,3,1264,1264,528.0,0,0,45,33,0,0,0,0,0,0,0,1
2421,3196,4,7,18.0,4,4,3,0.0,1374.0,5,1557,1557,420.0,143,20,3,2,0,0,0,0,0,0,1,0
952,9360,4,6,0.0,3,4,2,841.0,957.0,3,1287,1287,541.0,302,39,32,32,0,0,0,0,0,0,1,0
24,11241,3,6,180.0,3,3,0,578.0,1004.0,5,1004,1004,480.0,0,0,40,40,0,0,0,0,0,0,1,0
1139,9260,4,7,0.0,4,4,1,0.0,1162.0,5,1162,1162,483.0,0,32,1,1,0,0,0,0,0,0,1,0
518,7993,3,7,0.0,4,5,0,0.0,1436.0,5,1436,1436,529.0,0,121,1,0,0,0,0,0,0,1,1,0
